,City,Temperature,Humidity,Cloudiness,Wind Speed,Latitude
0,Santa Cruz de la Sierra,71.6,88,75,5.82,-17.8
1,Busselton,62.01,59,42,9.37,-33.65
2,Yashan,92.26,53,46,6.51,22.2
3,Luanda,71.6,78,75,3.36,-8.84
4,Aswān,85.28,21,28,8.55,24.09
5,Barrow,39.2,93,90,5.82,71.29
6,Curuguaty,65.62,59,0,5.08,-24.47
7,Esperance,55.4,82,90,4.7,-33.87
8,Hermanus,53.01,78,0,3.0,-34.42
9,Bluff,46.94,72,100,26.15,-46.6
10,Kampong Cham,82.36,79,98,4.14,11.99
11,Tolaga Bay,55.36,52,22,6.02,-38.37
12,Mandalgovi,83.82,29,17,14.43,45.76
13,Torbay,63.0,87,90,16.11,47.67
14,Laguna,79.0,47,1,12.33,38.42
15,Alihe,96.31,27,74,5.19,50.57
16,Bandi̇̄pur,70.39,100,94,2.37,27.93
17,Pacific Grove,60.8,82,90,8.05,36.62
18,Saskylakh,63.68,74,92,9.64,71.92
19,Namatanai,85.08,70,97,10.87,-3.67
20,Cangzhou,97.27,26,0,9.24,38.32
21,Bredasdorp,46.4,100,0,4.7,-34.53
22,Zalesovo,66.79,54,89,6.06,53.99
23,Kapaa,82.4,74,40,12.75,22.08
24,Port Alfred,61.83,34,0,8.32,-33.59
25,New Norfolk,54.0,79,100,1.01,-42.78
26,Jamestown,70.0,88,90,1.57,42.1
27,Gizo Government Station,83.89,78,71,12.41,-8.1
28,Lashma,55.02,79,0,4.27,54.93
29,Westport,75.2,83,90,8.05,41.14
30,Ribeira Grande,69.24,71,13,6.11,38.52
31,Hilo,80.6,65,75,11.41,19.73
32,Albany,75.0,98,44,5.55,42.6
33,Malbork,52.0,87,26,2.24,54.04
34,Castro,55.81,77,5,3.13,-24.79
35,Atuona,79.39,77,23,18.95,-9.8
36,Coyhaique,15.8,85,7,4.7,-45.58
37,Coquimbo,52.41,70,33,1.39,-29.95
38,Adrar,92.17,29,0,11.79,20.5
39,Bilma,83.3,18,0,5.08,18.69
40,Surab,81.46,31,0,0.51,28.49
41,Mawlaik,79.7,92,100,0.09,23.63
42,East London,51.8,33,0,6.93,-33.02
43,Stupino,51.8,81,15,4.47,54.9
44,Puerto Cabezas,79.29,86,34,5.55,14.04
45,Hobart,54.0,62,40,10.29,-42.88
46,Talegaon Dābhāde,75.61,82,100,4.7,18.72
47,Dāmghān,82.62,37,43,4.12,36.17
48,Vaini,75.2,83,40,8.05,-21.2
49,Guerrero Negro,65.46,85,0,15.99,27.98
50,Sosnovo-Ozerskoye,71.44,62,73,5.35,52.52
51,Ushuaia,39.2,86,75,21.92,-54.8
52,Rikitea,67.24,59,39,14.07,-23.12
53,Sinjār,82.18,17,13,1.45,36.32
54,Meadow Lake,68.0,82,90,3.36,34.8
55,Saint-Philippe,66.2,59,90,21.92,-21.36
56,San Vicente,63.93,69,0,5.57,-26.62
57,Hong Kong,91.0,63,70,10.0,22.29
58,Upernavik,44.92,78,51,8.5,72.79
59,Saint Paul Harbor,60.8,59,90,4.7,57.79
60,Cartagena del Chairá,70.75,95,100,1.5,1.33
61,Lorengau,84.72,77,72,9.75,-2.02
62,Port Lincoln,58.51,54,100,17.36,-34.73
63,Bethel,70.0,94,20,8.05,41.37
64,Ostrovnoy,62.29,81,99,13.22,68.05
65,La Ronge,69.8,77,75,8.05,55.1
66,Skjervøy,49.5,90,90,1.7,70.03
67,Shitanjing,80.24,43,50,10.51,39.23
68,Nāyudupet,78.8,88,75,3.36,13.9
69,Cherskiy,73.02,55,0,11.63,68.75
70,Uauá,63.41,90,1,8.79,-9.84
71,Los Llanos de Aridane,71.01,77,75,16.11,28.66
72,Dikson,42.82,88,0,3.2,73.51
